projection	area	project	activity	domain	institute	model	experiment	ensemble	rcm	downscaling
Ivory-Coast_CORDEX_none_AFR-22_ICTP_MOHC-HadGEM2-ES_rcp26_r1i1p1_RegCM4-7_v0	Ivory-Coast	CORDEX	none	AFR-22	ICTP	MOHC-HadGEM2-ES	rcp26	r1i1p1	RegCM4-7	v0
Ivory-Coast_CORDEX_none_AFR-22_CLMcom-HZG_MOHC-HadGEM2-ES_rcp85_r1i1p1_CCLM5-0-15_v1	Ivory-Coast	CORDEX	none	AFR-22	CLMcom-HZG	MOHC-HadGEM2-ES	rcp85	r1i1p1	CCLM5-0-15	v1
Ivory-Coast_CORDEX_none_AFR-22_GERICS_MOHC-HadGEM2-ES_rcp85_r1i1p1_REMO2015_v1	Ivory-Coast	CORDEX	none	AFR-22	GERICS	MOHC-HadGEM2-ES	rcp85	r1i1p1	REMO2015	v1
Ivory-Coast_CORDEX_none_AFR-22_ICTP_MOHC-HadGEM2-ES_rcp85_r1i1p1_RegCM4-7_v0	Ivory-Coast	CORDEX	none	AFR-22	ICTP	MOHC-HadGEM2-ES	rcp85	r1i1p1	RegCM4-7	v0
Ivory-Coast_CORDEX_none_AFR-22_CLMcom-HZG_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_CCLM5-0-15_v1	Ivory-Coast	CORDEX	none	AFR-22	CLMcom-HZG	MPI-M-MPI-ESM-LR	rcp26	r1i1p1	CCLM5-0-15	v1
Ivory-Coast_CORDEX_none_AFR-22_GERICS_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_REMO2015_v1	Ivory-Coast	CORDEX	none	AFR-22	GERICS	MPI-M-MPI-ESM-LR	rcp26	r1i1p1	REMO2015	v1
Ivory-Coast_CORDEX_none_AFR-22_CLMcom-HZG_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CCLM5-0-15_v1	Ivory-Coast	CORDEX	none	AFR-22	CLMcom-HZG	MPI-M-MPI-ESM-LR	rcp85	r1i1p1	CCLM5-0-15	v1
Ivory-Coast_CORDEX_none_AFR-22_GERICS_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_REMO2015_v1	Ivory-Coast	CORDEX	none	AFR-22	GERICS	MPI-M-MPI-ESM-LR	rcp85	r1i1p1	REMO2015	v1
Ivory-Coast_CORDEX_none_AFR-22_ICTP_MPI-M-MPI-ESM-MR_rcp26_r1i1p1_RegCM4-7_v0	Ivory-Coast	CORDEX	none	AFR-22	ICTP	MPI-M-MPI-ESM-MR	rcp26	r1i1p1	RegCM4-7	v0
Ivory-Coast_CORDEX_none_AFR-22_ICTP_MPI-M-MPI-ESM-MR_rcp85_r1i1p1_RegCM4-7_v0	Ivory-Coast	CORDEX	none	AFR-22	ICTP	MPI-M-MPI-ESM-MR	rcp85	r1i1p1	RegCM4-7	v0
Ivory-Coast_CORDEX_none_AFR-22_CLMcom-HZG_NCC-NorESM1-M_rcp26_r1i1p1_CCLM5-0-15_v1	Ivory-Coast	CORDEX	none	AFR-22	CLMcom-HZG	NCC-NorESM1-M	rcp26	r1i1p1	CCLM5-0-15	v1
Ivory-Coast_CORDEX_none_AFR-22_GERICS_NCC-NorESM1-M_rcp26_r1i1p1_REMO2015_v1	Ivory-Coast	CORDEX	none	AFR-22	GERICS	NCC-NorESM1-M	rcp26	r1i1p1	REMO2015	v1
Ivory-Coast_CORDEX_none_AFR-22_ICTP_NCC-NorESM1-M_rcp26_r1i1p1_RegCM4-7_v0	Ivory-Coast	CORDEX	none	AFR-22	ICTP	NCC-NorESM1-M	rcp26	r1i1p1	RegCM4-7	v0
Ivory-Coast_CORDEX_none_AFR-22_CLMcom-HZG_NCC-NorESM1-M_rcp85_r1i1p1_CCLM5-0-15_v1	Ivory-Coast	CORDEX	none	AFR-22	CLMcom-HZG	NCC-NorESM1-M	rcp85	r1i1p1	CCLM5-0-15	v1
Ivory-Coast_CORDEX_none_AFR-22_GERICS_NCC-NorESM1-M_rcp85_r1i1p1_REMO2015_v1	Ivory-Coast	CORDEX	none	AFR-22	GERICS	NCC-NorESM1-M	rcp85	r1i1p1	REMO2015	v1
Ivory-Coast_CORDEX_none_AFR-22_ICTP_NCC-NorESM1-M_rcp85_r1i1p1_RegCM4-7_v0	Ivory-Coast	CORDEX	none	AFR-22	ICTP	NCC-NorESM1-M	rcp85	r1i1p1	RegCM4-7	v0
French-Guiana_CORDEX_none_SAM-22_GERICS_MOHC-HadGEM2-ES_rcp26_r1i1p1_REMO2015_v1	French-Guiana	CORDEX	none	SAM-22	GERICS	MOHC-HadGEM2-ES	rcp26	r1i1p1	REMO2015	v1
French-Guiana_CORDEX_none_SAM-22_ICTP_MOHC-HadGEM2-ES_rcp26_r1i1p1_RegCM4-7_v0	French-Guiana	CORDEX	none	SAM-22	ICTP	MOHC-HadGEM2-ES	rcp26	r1i1p1	RegCM4-7	v0
French-Guiana_CORDEX_none_SAM-22_GERICS_MOHC-HadGEM2-ES_rcp85_r1i1p1_REMO2015_v1	French-Guiana	CORDEX	none	SAM-22	GERICS	MOHC-HadGEM2-ES	rcp85	r1i1p1	REMO2015	v1
French-Guiana_CORDEX_none_SAM-22_ICTP_MOHC-HadGEM2-ES_rcp85_r1i1p1_RegCM4-7_v0	French-Guiana	CORDEX	none	SAM-22	ICTP	MOHC-HadGEM2-ES	rcp85	r1i1p1	RegCM4-7	v0
French-Guiana_CORDEX_none_SAM-22_GERICS_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_REMO2015_v1	French-Guiana	CORDEX	none	SAM-22	GERICS	MPI-M-MPI-ESM-LR	rcp26	r1i1p1	REMO2015	v1
French-Guiana_CORDEX_none_SAM-22_GERICS_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_REMO2015_v1	French-Guiana	CORDEX	none	SAM-22	GERICS	MPI-M-MPI-ESM-LR	rcp85	r1i1p1	REMO2015	v1
French-Guiana_CORDEX_none_SAM-22_ICTP_MPI-M-MPI-ESM-MR_rcp26_r1i1p1_RegCM4-7_v0	French-Guiana	CORDEX	none	SAM-22	ICTP	MPI-M-MPI-ESM-MR	rcp26	r1i1p1	RegCM4-7	v0
French-Guiana_CORDEX_none_SAM-22_ICTP_MPI-M-MPI-ESM-MR_rcp85_r1i1p1_RegCM4-7_v0	French-Guiana	CORDEX	none	SAM-22	ICTP	MPI-M-MPI-ESM-MR	rcp85	r1i1p1	RegCM4-7	v0
French-Guiana_CORDEX_none_SAM-22_GERICS_NCC-NorESM1-M_rcp26_r1i1p1_REMO2015_v1	French-Guiana	CORDEX	none	SAM-22	GERICS	NCC-NorESM1-M	rcp26	r1i1p1	REMO2015	v1
French-Guiana_CORDEX_none_SAM-22_ICTP_NCC-NorESM1-M_rcp26_r1i1p1_RegCM4-7_v0	French-Guiana	CORDEX	none	SAM-22	ICTP	NCC-NorESM1-M	rcp26	r1i1p1	RegCM4-7	v0
French-Guiana_CORDEX_none_SAM-22_GERICS_NCC-NorESM1-M_rcp85_r1i1p1_REMO2015_v1	French-Guiana	CORDEX	none	SAM-22	GERICS	NCC-NorESM1-M	rcp85	r1i1p1	REMO2015	v1
French-Guiana_CORDEX_none_SAM-22_ICTP_NCC-NorESM1-M_rcp85_r1i1p1_RegCM4-7_v0	French-Guiana	CORDEX	none	SAM-22	ICTP	NCC-NorESM1-M	rcp85	r1i1p1	RegCM4-7	v0
